ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Origem_Historica
MOL_00561,CCCC(=O)C1C(O)CCC1c1cnccc1C#CF,-7.898,-5.785,2.113,Fase 1_Lote Inicial
MOL_00562,COC(=O)c1ccncc1C1CCC(C)C1C(=O)C(C)C,-7.898,-6.016,1.882,Fase 1_Lote Inicial
MOL_00563,O=CC1CCC(c2cnccc2CF)C1C(=O)C1CC1,-7.897,-5.972,1.925,Fase 2_Seletividade
MOL_00564,CCc1ccncc1C1CCC(C#N)C1C(=O)OC,-7.897,-6.291,1.606,Fase 2_Seletividade
MOL_00565,CCc1ccncc1C1CCC(F)C1C(N)=O,-7.897,-6.49,1.407,Fase 2_Seletividade
MOL_00566,COC1CCC(c2cnccc2N)C1C(=O)C(C)C,-7.896,-6.523,1.373,Fase 2_Seletividade
MOL_00567,CCCC(=O)C1C(F)CCC1c1cnccc1C,-7.895,-6.07,1.825,Fase 2_Seletividade
MOL_00568,O=C(C1CC1)C1C(CF)CCC1c1cnccc1C(F)F,-7.895,-6.35,1.545,Fase 3_Super Elite
MOL_00569,[C-]#[N+]c1ccncc1CC1(C)CCCC1C(=O)CCC,-7.895,-6.663,1.232,Fase 1_Lote Inicial
MOL_00570,CCc1ccncc1C1CCC(CF)C1C(N)=O,-7.894,-6.329,1.565,Fase 2_Seletividade
MOL_00571,COc1ccncc1C1CCC(OC)C1C(=O)C1CC1,-7.892,-5.922,1.97,Fase 2_Seletividade
MOL_00572,N#CC1CCC(c2cnccc2C2CC2)C1C(=O)C1CC1,-7.891,-5.991,1.9,Fase 2_Seletividade
MOL_00573,CCC1CCC(c2cnccc2C)C1C(=O)C(=O)O,-7.891,-6.097,1.794,Fase 2_Seletividade
MOL_00574,CC(=O)C1C(F)CCC1c1cnccc1C(F)F,-7.889,-6.121,1.768,Fase 2_Seletividade
MOL_00575,CCC(=O)C1C(O)CCC1c1cnccc1N,-7.888,-6.561,1.327,Fase 3_Super Elite
